...1,IRS_audit,year,prices_adj,market_value,income_taxes,pretax_income,gross_income,net_sales_revenue,operating_profit_margin,employees,crnt_total_assets,DS_total_assets,turnover_value,turnover_volume,enterprise_value,total_capital
399,0,2007,31.28,221.79,0,-19787,3878,10484,-256.06,152,40079,45298,NA,22114.2,186027,33542
400,0,2008,12.88,109.61,0,-32620,2760,6611,-537.66,165,31884,36964,NA,14785,86615,28018
401,0,2009,24.72,273.91,0,-39529,-61,3833,-1022.12,161,48395,53536,NA,19443.8,235941,42292
402,0,2010,14.8,176.23,0,-47460,-11482,4740,-1019.7,108,27624,35233,NA,28232.9,171262,22106
403,0,2011,29.008,49.36,0,-35808,-7448,5617,-641.64,103,18655,23870,NA,29645.4,36216,10941
404,0,2012,1.96,48.79,0,-22693,1441,8365,-274.31,67,9695,12938,NA,135026.6,41488,5074
405,0,2013,1.31,42.01,0,-13178,4051,5852,-256.46,64,5784,8447,NA,52775.8,27953,-1696
406,0,2014,1.78,79.12,NA,-18120,2441,3485,-391.13,66,9625,11945,4461.5,273782.6,69530,6872
407,0,2015,3,141.7,NA,-14542,2008,9188,-158.37,67,11075,14042,433814.8,138870.4,127742,-153
408,0,2004,NA,NA,516,-34734,73603,252645,29.11,847,51355,829786,NA,NA,NA,765633
409,0,2005,NA,NA,-83096,-65846,69378,262843,25.5,900,78548,860979,NA,NA,965511,853606
410,0,2006,NA,NA,19858,39760,66670,270069,23.61,952,79170,861400,NA,NA,1271890,831999
411,0,2007,NA,NA,9093,9786,70166,283462,23.34,1087,46500,840425,NA,NA,1080891,786124
412,0,2008,NA,NA,-43408,-111932,499501,1274619,20.34,4071,350917,3334493,NA,NA,2693448,2456567
413,0,2009,NA,NA,-79014,-320410,336492,1126761,-4.56,2682,384647,3172122,NA,NA,-108943,-218427
414,0,2010,NA,NA,-7661,-289240,270566,1070986,-8.85,4032,311613,2973794,NA,NA,-100641,-583475
415,0,2011,4.21,110.29,226613,398575,193699,1029490,-16.07,3541,185667,1989645,NA,42236,1075580,886547
416,0,2012,7.67,201.65,-95560,-248854,156764,973649,-19.07,3369,170292,1732361,NA,36697.6,1137842,630657
417,0,2013,10.86,287.55,-90291,-193785,217699,939354,-12.13,3171,181169,1599898,NA,23004.1,1176269,602973
418,0,2014,14.91,398.23,-29778,-166097,240739,901396,-10.11,3052,147536,1465958,8056.5,32755.8,1258149,308868
419,0,2015,15.87,426.99,-1057,89359,208038,859465,20.2,2700,116136,1322526,385202.4,22356.9,1314748,899879
420,1,2006,449.825,36938.9,720000,2785000,9154000,31367000,11.3,118000,12304000,29866000,NA,929674.4,40057759,13629000
